paper,paper_short,venue,year,table,method,proposed,modality,metric_type,alignment,dataset,sequence,sequence_norm,metric,unit,value,status,note
DEIO,DEIO,ICCV,2025,I,Ultimate-SLAM (EIO),no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),boxes_6dof,boxes_6dof,MPE,%,0.44,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Ultimate-SLAM (EIO),no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),dynamic_translation,dynamic_translation,MPE,%,0.59,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Ultimate-SLAM (EIO),no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),dynamic_6dof,dynamic_6dof,MPE,%,0.38,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Ultimate-SLAM (EIO),no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),poster_translation,poster_translation,MPE,%,0.15,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Ultimate-SLAM (EIO),no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),hdr_poster,hdr_poster,MPE,%,0.49,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Ultimate-SLAM (EIO),no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),poster_6dof,poster_6dof,MPE,%,0.3,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Ultimate-SLAM (EIO),no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),average,average,MPE,%,0.47,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Ultimate-SLAM (EVIO),no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),boxes_translation,boxes_translation,MPE,%,0.27,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Ultimate-SLAM (EVIO),no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),hdr_boxes,hdr_boxes,MPE,%,0.37,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Ultimate-SLAM (EVIO),no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),boxes_6dof,boxes_6dof,MPE,%,0.3,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Ultimate-SLAM (EVIO),no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),dynamic_translation,dynamic_translation,MPE,%,0.18,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Ultimate-SLAM (EVIO),no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),dynamic_6dof,dynamic_6dof,MPE,%,0.19,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Ultimate-SLAM (EVIO),no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),poster_translation,poster_translation,MPE,%,0.12,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Ultimate-SLAM (EVIO),no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),hdr_poster,hdr_poster,MPE,%,0.31,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Ultimate-SLAM (EVIO),no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),poster_6dof,poster_6dof,MPE,%,0.28,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Ultimate-SLAM (EVIO),no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),average,average,MPE,%,0.25,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Jung et al. (EIO),no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),boxes_translation,boxes_translation,MPE,%,1.5,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Jung et al. (EIO),no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),hdr_boxes,hdr_boxes,MPE,%,2.45,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Jung et al. (EIO),no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),boxes_6dof,boxes_6dof,MPE,%,2.88,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Jung et al. (EIO),no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),dynamic_translation,dynamic_translation,MPE,%,4.92,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Jung et al. (EIO),no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),dynamic_6dof,dynamic_6dof,MPE,%,6.23,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Jung et al. (EIO),no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),poster_translation,poster_translation,MPE,%,3.43,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Jung et al. (EIO),no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),hdr_poster,hdr_poster,MPE,%,2.38,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Jung et al. (EIO),no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),poster_6dof,poster_6dof,MPE,%,2.53,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Jung et al. (EIO),no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),average,average,MPE,%,3.92,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Jung et al. (EVIO),no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),boxes_translation,boxes_translation,MPE,%,1.24,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Jung et al. (EVIO),no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),hdr_boxes,hdr_boxes,MPE,%,1.15,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Jung et al. (EVIO),no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),boxes_6dof,boxes_6dof,MPE,%,0.98,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Jung et al. (EVIO),no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),dynamic_translation,dynamic_translation,MPE,%,0.89,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Jung et al. (EVIO),no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),dynamic_6dof,dynamic_6dof,MPE,%,0.98,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Jung et al. (EVIO),no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),poster_translation,poster_translation,MPE,%,1.83,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Jung et al. (EVIO),no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),hdr_poster,hdr_poster,MPE,%,0.57,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Jung et al. (EVIO),no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),poster_6dof,poster_6dof,MPE,%,0.97,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Jung et al. (EVIO),no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),average,average,MPE,%,1.07,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,HASTE-VIO,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),boxes_translation,boxes_translation,MPE,%,2.55,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,HASTE-VIO,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),hdr_boxes,hdr_boxes,MPE,%,1.75,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,HASTE-VIO,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),boxes_6dof,boxes_6dof,MPE,%,2.03,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,HASTE-VIO,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),dynamic_translation,dynamic_translation,MPE,%,1.32,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,HASTE-VIO,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),dynamic_6dof,dynamic_6dof,MPE,%,0.52,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,HASTE-VIO,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),poster_translation,poster_translation,MPE,%,1.34,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,HASTE-VIO,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),hdr_poster,hdr_poster,MPE,%,0.57,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,HASTE-VIO,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),poster_6dof,poster_6dof,MPE,%,1.5,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,HASTE-VIO,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),average,average,MPE,%,1.45,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,EKLT-VIO,no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),boxes_translation,boxes_translation,MPE,%,0.48,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,EKLT-VIO,no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),hdr_boxes,hdr_boxes,MPE,%,0.46,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,EKLT-VIO,no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),boxes_6dof,boxes_6dof,MPE,%,0.84,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,EKLT-VIO,no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),dynamic_translation,dynamic_translation,MPE,%,0.4,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,EKLT-VIO,no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),dynamic_6dof,dynamic_6dof,MPE,%,0.79,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,EKLT-VIO,no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),poster_translation,poster_translation,MPE,%,0.35,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,EKLT-VIO,no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),hdr_poster,hdr_poster,MPE,%,0.65,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,EKLT-VIO,no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),poster_6dof,poster_6dof,MPE,%,0.35,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,EKLT-VIO,no,E+F+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),average,average,MPE,%,0.54,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Dai et al.,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),boxes_translation,boxes_translation,MPE,%,1.0,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Dai et al.,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),hdr_boxes,hdr_boxes,MPE,%,1.8,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Dai et al.,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),boxes_6dof,boxes_6dof,MPE,%,1.5,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Dai et al.,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),dynamic_translation,dynamic_translation,MPE,%,0.9,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Dai et al.,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),dynamic_6dof,dynamic_6dof,MPE,%,1.5,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
DEIO,DEIO,ICCV,2025,I,Dai et al.,no,E+I,metric,"SE3, first 5 s (pos+yaw)",ECD (DAVIS240C),poster_translation,poster_translation,MPE,%,1.9,ok,"ECD/Event-Camera-Dataset, 240x180. Authors' takeaway: among non-learning methods EVI-SAM is best; DEIO cuts pose error up to 71% vs DEVO via learning+IMU."
